name,date,Sample,Time,speed,acceleration,position
example,07/21/2022 15:06:07 (mm/dd/yyyy),0,0,0.07,4.22,0.00
example,07/21/2022 15:06:07 (mm/dd/yyyy),1,0.02,0.16,4.22,0.00
example,07/21/2022 15:06:07 (mm/dd/yyyy),2,0.04,0.25,4.61,0.00
example,07/21/2022 15:06:07 (mm/dd/yyyy),3,0.06,0.35,5.20,0.01
example,07/21/2022 15:06:07 (mm/dd/yyyy),4,0.09,0.47,5.69,0.02
example,07/21/2022 15:06:07 (mm/dd/yyyy),5,0.11,0.60,6.28,0.03
example,07/21/2022 15:06:07 (mm/dd/yyyy),6,0.13,0.74,6.77,0.05
example,07/21/2022 15:06:07 (mm/dd/yyyy),7,0.15,0.89,7.26,0.06
example,07/21/2022 15:06:07 (mm/dd/yyyy),8,0.17,1.05,7.55,0.08
example,07/21/2022 15:06:07 (mm/dd/yyyy),9,0.19,1.21,7.75,0.11
example,07/21/2022 15:06:07 (mm/dd/yyyy),10,0.21,1.38,7.85,0.13
example,07/21/2022 15:06:07 (mm/dd/yyyy),11,0.23,1.54,7.65,0.16
example,07/21/2022 15:06:07 (mm/dd/yyyy),12,0.26,1.70,7.36,0.20
example,07/21/2022 15:06:07 (mm/dd/yyyy),13,0.28,1.86,6.87,0.24
example,07/21/2022 15:06:07 (mm/dd/yyyy),14,0.3,2.00,6.28,0.28
example,07/21/2022 15:06:07 (mm/dd/yyyy),15,0.32,2.13,5.69,0.32
example,07/21/2022 15:06:07 (mm/dd/yyyy),16,0.34,2.24,5.00,0.37
example,07/21/2022 15:06:07 (mm/dd/yyyy),17,0.36,2.34,4.32,0.42
example,07/21/2022 15:06:07 (mm/dd/yyyy),18,0.38,2.42,3.73,0.47
example,07/21/2022 15:06:07 (mm/dd/yyyy),19,0.41,2.50,3.34,0.52
example,07/21/2022 15:06:07 (mm/dd/yyyy),20,0.43,2.57,3.14,0.58
example,07/21/2022 15:06:07 (mm/dd/yyyy),21,0.45,2.63,3.14,0.63
example,07/21/2022 15:06:07 (mm/dd/yyyy),22,0.47,2.70,3.34,0.69
example,07/21/2022 15:06:07 (mm/dd/yyyy),23,0.49,2.78,3.73,0.75
example,07/21/2022 15:06:07 (mm/dd/yyyy),24,0.51,2.86,4.22,0.81
example,07/21/2022 15:06:07 (mm/dd/yyyy),25,0.53,2.95,4.81,0.87
example,07/21/2022 15:06:07 (mm/dd/yyyy),26,0.55,3.07,5.49,0.93
example,07/21/2022 15:06:07 (mm/dd/yyyy),27,0.58,3.19,6.08,1.00
example,07/21/2022 15:06:07 (mm/dd/yyyy),28,0.6,3.33,6.67,1.07
example,07/21/2022 15:06:07 (mm/dd/yyyy),29,0.62,3.47,7.06,1.14
example,07/21/2022 15:06:07 (mm/dd/yyyy),30,0.64,3.63,7.36,1.22
example,07/21/2022 15:06:07 (mm/dd/yyyy),31,0.66,3.79,7.46,1.30
example,07/21/2022 15:06:07 (mm/dd/yyyy),32,0.68,3.95,7.26,1.38
example,07/21/2022 15:06:07 (mm/dd/yyyy),33,0.7,4.10,6.87,1.47
