time,speed,acceleration,force,power,distance
0.02,-0.100000001,-2.829999924,5.289999962,-0.529999971,1.710000038
0.039999999,-0.159999996,-2.910000086,7.349999905,-1.179999948,1.710000038
0.079999998,-0.25999999,-1.980000019,13.02999973,-3.390000105,1.700000048
0.059999999,-0.219999999,-2.849999905,10,-2.200000048,1.700000048
0.100000001,-0.270000011,-0.600000024,16.17000008,-4.369999886,1.690000057
0.119999997,-0.25999999,0.519999981,18.90999985,-4.920000076,1.690000057
0.140000001,-0.239999995,0.870000005,20.87000084,-5.010000229,1.679999948
0.159999996,-0.219999999,0.860000014,22.25,-4.889999866,1.679999948
0.180000007,-0.209999993,0.479999989,22.82999992,-4.800000191,1.669999957
0.200000003,-0.219999999,-0.200000003,22.93000031,-5.050000191,1.669999957
0.219999999,-0.230000004,-0.730000019,22.82999992,-5.25,1.659999967
0.239999995,-0.25,-0.75999999,22.73999977,-5.679999828,1.659999967
0.25999999,-0.25999999,-0.610000014,22.73999977,-5.909999847,1.649999976
0.280000001,-0.270000011,-0.360000014,22.82999992,-6.170000076,1.649999976
0.300000012,-0.25999999,0.090000004,22.93000031,-5.960000038,1.639999986
0.319999993,-0.25999999,0.479999989,23.03000069,-5.989999771,1.639999986
0.340000004,-0.239999995,0.560000002,23.03000069,-5.53000021,1.629999995
0.360000014,-0.230000004,0.49000001,22.93000031,-5.269999981,1.629999995
0.379999995,-0.219999999,0.449999988,22.82999992,-5.019999981,1.620000005
0.400000006,-0.219999999,0.159999996,22.73999977,-5,1.620000005
0.419999987,-0.219999999,-0.140000001,22.63999939,-4.980000019,1.610000014
0.439999998,-0.230000004,-0.389999986,22.54000092,-5.179999828,1.610000014
0.460000008,-0.239999995,-0.469999999,22.63999939,-5.429999828,1.600000024
0.479999989,-0.25,-0.349999994,22.73999977,-5.679999828,1.600000024
0.5,-0.25,-0.100000001,22.82999992,-5.710000038,1.590000033
0.519999981,-0.25,0.159999996,22.82999992,-5.710000038,1.590000033
0.540000021,-0.239999995,0.439999998,22.93000031,-5.5,1.580000043
0.560000002,-0.230000004,0.639999986,22.93000031,-5.269999981,1.580000043
0.579999983,-0.209999993,0.939999998,22.82999992,-4.800000191,1.580000043
0.600000024,-0.180000007,1.350000024,22.82999992,-4.110000134,1.570000052
