sampleTime,time,speed,acceleration,position
0,0,0.03,4.78,0
1,0.02,0.13,4.78,0
2,0.04,0.24,5.63,0.01
3,0.06,0.37,6.63,0.01
4,0.09,0.52,7.74,0.02
5,0.11,0.7,8.89,0.03
6,0.13,0.9,9.97,0.05
7,0.15,1.12,10.88,0.07
8,0.17,1.36,11.51,0.1
9,0.19,1.61,11.74,0.13
10,0.21,1.87,11.5,0.17
11,0.23,2.11,10.74,0.21
12,0.26,2.32,9.5,0.26
13,0.28,2.51,7.84,0.31
14,0.3,2.66,5.9,0.36
15,0.32,2.76,3.86,0.42
16,0.34,2.82,1.91,0.48
17,0.36,2.84,0.25,0.54
18,0.38,2.83,-0.95,0.6
19,0.41,2.8,-1.58,0.66
20,0.43,2.77,-1.59,0.72
21,0.45,2.74,-1.01,0.78
22,0.47,2.72,0.07,0.84
23,0.49,2.74,1.49,0.9
24,0.51,2.79,3.07,0.96
25,0.53,2.87,4.63,1.02
26,0.55,2.98,6.01,1.08
27,0.58,3.13,7.06,1.14
28,0.6,3.29,7.73,1.21
29,0.62,3.46,7.99,1.29
30,0.64,3.63,7.89,1.36
31,0.66,3.79,7.5,1.44
32,0.68,3.95,6.91,1.52
33,0.7,4.09,6.23,1.61
34,0.73,4.21,5.54,1.7
35,0.75,4.32,4.89,1.79
36,0.77,4.42,4.31,1.88
37,0.79,4.51,3.79,1.98
38,0.81,4.58,3.31,2.07
39,0.83,4.65,2.85,2.17
40,0.85,4.7,2.4,2.27
41,0.87,4.75,1.96,2.37
42,0.9,4.79,1.55,2.47
43,0.92,4.82,1.23,2.58
44,0.94,4.84,1.04,2.68
45,0.96,4.86,1.04,2.78
46,0.98,4.88,1.24,2.89
47,1,4.91,1.67,2.99
48,1.02,4.96,2.28,3.1
49,1.05,5.01,3.02,3.2
50,1.07,5.08,3.82,3.31
51,1.09,5.17,4.57,3.42
52,1.11,5.28,5.19,3.53
53,1.13,5.4,5.62,3.65
54,1.15,5.52,5.8,3.76
55,1.17,5.64,5.71,3.88
56,1.19,5.76,5.36,4
57,1.22,5.87,4.78,4.13
58,1.24,5.97,4.02,4.25
59,1.26,6.04,3.16,4.38
60,1.28,6.1,2.26,4.51
61,1.3,6.14,1.38,4.64
62,1.32,6.16,0.61,4.77
63,1.34,6.17,-0.02,4.9
64,1.37,6.16,-0.45,5.04
65,1.39,6.15,-0.66,5.17
66,1.41,6.13,-0.66,5.3
67,1.43,6.12,-0.47,5.43
68,1.45,6.11,-0.11,5.56
69,1.47,6.11,0.34,5.69
70,1.49,6.13,0.84,5.82
71,1.51,6.15,1.33,5.95
72,1.54,6.18,1.75,6.08
73,1.56,6.22,2.08,6.21
74,1.58,6.27,2.28,6.35
75,1.6,6.32,2.36,6.48
76,1.62,6.37,2.31,6.62
77,1.64,6.42,2.15,6.75
78,1.66,6.46,1.88,6.89
79,1.69,6.5,1.51,7.03
80,1.71,6.53,1.04,7.17
81,1.73,6.55,0.48,7.31
82,1.75,6.55,-0.17,7.45
83,1.77,6.54,-0.88,7.59
84,1.79,6.51,-1.61,7.73
85,1.81,6.47,-2.31,7.87
86,1.83,6.41,-2.94,8
87,1.86,6.34,-3.45,8.14
88,1.88,6.27,-3.8,8.27
89,1.9,6.18,-3.98,8.41
90,1.92,6.1,-4.01,8.54
91,1.94,6.01,-3.92,8.67
92,1.96,5.93,-3.76,8.79
93,1.98,5.85,-3.59,8.92
94,2.01,5.78,-3.48,9.04
95,2.03,5.7,-3.48,9.17
96,2.05,5.63,-3.63,9.29
97,2.07,5.55,-3.94,9.41
98,2.09,5.46,-4.39,9.52
99,2.11,5.36,-4.97,9.64
100,2.13,5.25,-5.63,9.75
101,2.15,5.12,-6.31,9.86
102,2.18,4.98,-6.96,9.97
103,2.2,4.82,-7.52,10.07
104,2.22,4.66,-7.96,10.18
105,2.24,4.48,-8.24,10.27
106,2.26,4.31,-8.35,10.37
107,2.28,4.13,-8.29,10.46
108,2.3,3.95,-8.07,10.54
109,2.33,3.78,-7.74,10.63
110,2.35,3.62,-7.33,10.7
111,2.37,3.47,-6.87,10.78
112,2.39,3.33,-6.42,10.85
113,2.41,3.2,-6,10.92
114,2.43,3.07,-5.64,10.99
115,2.45,2.96,-5.37,11.05
116,2.47,2.84,-5.19,11.12
117,2.5,2.73,-5.09,11.17
118,2.52,2.63,-5.06,11.23
119,2.54,2.52,-5.09,11.29
120,2.56,2.41,-5.13,11.34
121,2.58,2.3,-5.18,11.39
122,2.6,2.19,-5.2,11.44
123,2.62,2.08,-5.17,11.48
124,2.65,1.97,-5.07,11.53
125,2.67,1.86,-4.9,11.57
126,2.69,1.76,-4.66,11.61
127,2.71,1.66,-4.38,11.64
128,2.73,1.57,-4.09,11.68
129,2.75,1.49,-3.84,11.71
130,2.77,1.41,-3.72,11.74
131,2.79,1.33,-3.72,11.77
