Sample,time,speed,acceleration,distance
0,0,0.12,3.73,0
1,0.02,0.2,3.73,0
2,0.04,0.28,3.92,0.01
3,0.06,0.37,4.12,0.01
4,0.09,0.46,4.32,0.02
5,0.11,0.55,4.51,0.03
6,0.13,0.65,4.71,0.05
7,0.15,0.75,5,0.06
8,0.17,0.86,5.2,0.08
9,0.19,0.97,5.49,0.1
10,0.21,1.1,5.79,0.12
11,0.23,1.22,5.98,0.14
12,0.26,1.35,6.08,0.17
13,0.28,1.48,6.08,0.2
14,0.3,1.61,5.98,0.23
15,0.32,1.74,5.79,0.27
16,0.34,1.86,5.4,0.31
17,0.36,1.97,5,0.35
18,0.38,2.07,4.51,0.39
19,0.41,2.16,4.02,0.44
20,0.43,2.24,3.63,0.48
21,0.45,2.32,3.43,0.53
22,0.47,2.39,3.34,0.58
23,0.49,2.46,3.34,0.63
24,0.51,2.53,3.53,0.69
25,0.53,2.61,3.83,0.74
26,0.55,2.69,4.12,0.8
27,0.58,2.78,4.32,0.86
28,0.6,2.88,4.51,0.92
29,0.62,2.98,4.61,0.98
30,0.64,3.08,4.51,1.05
31,0.66,3.17,4.32,1.11
32,0.68,3.26,4.02,1.18
33,0.7,3.34,3.63,1.25
34,0.73,3.42,3.43,1.32
35,0.75,3.48,3.14,1.4
36,0.77,3.55,3.14,1.47
37,0.79,3.62,3.14,1.55
38,0.81,3.68,3.34,1.63
39,0.83,3.76,3.63,1.7
40,0.85,3.84,3.83,1.79
41,0.87,3.92,4.02,1.87
42,0.9,4.01,4.12,1.95
43,0.92,4.1,4.02,2.04
44,0.94,4.18,3.73,2.13
45,0.96,4.26,3.34,2.22
46,0.98,4.33,2.84,2.31
47,1,4.38,2.26,2.4
48,1.02,4.43,1.77,2.5
49,1.05,4.46,1.37,2.59
50,1.07,4.48,1.08,2.69
51,1.09,4.51,1.08,2.78
52,1.11,4.53,1.18,2.88
53,1.13,4.56,1.47,2.98
54,1.15,4.59,1.86,3.07
55,1.17,4.63,2.26,3.17
56,1.19,4.68,2.65,3.27
57,1.22,4.75,3.14,3.37
58,1.24,4.82,3.43,3.48
59,1.26,4.89,3.73,3.58
60,1.28,4.98,4.02,3.68
61,1.3,5.06,4.22,3.79
62,1.32,5.16,4.41,3.9
63,1.34,5.25,4.51,4.01
64,1.37,5.35,4.51,4.13
65,1.39,5.44,4.51,4.24
66,1.41,5.54,4.32,4.36
67,1.43,5.63,3.92,4.48
68,1.45,5.71,3.43,4.6
69,1.47,5.78,2.84,4.72
70,1.49,5.83,2.06,4.84
71,1.51,5.86,1.28,4.97
72,1.54,5.88,0.39,5.09
73,1.56,5.88,-0.29,5.22
74,1.58,5.87,-0.88,5.34
75,1.6,5.84,-1.37,5.47
76,1.62,5.81,-1.57,5.59
77,1.64,5.78,-1.67,5.72
78,1.66,5.74,-1.57,5.84
79,1.69,5.71,-1.28,5.96
80,1.71,5.68,-0.98,6.09
81,1.73,5.66,-0.59,6.2
82,1.75,5.65,-0.29,6.33
83,1.77,5.65,0,6.45
84,1.79,5.65,0.2,6.57
85,1.81,5.66,0.29,6.69
86,1.83,5.67,0.29,6.81
87,1.86,5.67,0.29,6.93
88,1.88,5.68,0.2,7.05
89,1.9,5.68,0.1,7.17
90,1.92,5.69,0,7.29
91,1.94,5.69,0,7.41
92,1.96,5.68,-0.1,7.54
93,1.98,5.68,-0.2,7.66
94,2.01,5.67,-0.39,7.78
95,2.03,5.66,-0.59,7.9
96,2.05,5.65,-0.98,8.02
97,2.07,5.62,-1.37,8.14
98,2.09,5.59,-1.96,8.26
99,2.11,5.54,-2.55,8.38
100,2.13,5.48,-3.14,8.5
101,2.15,5.41,-3.73,8.61
102,2.18,5.32,-4.22,8.73
103,2.2,5.23,-4.61,8.84
104,2.22,5.12,-4.91,8.95
105,2.24,5.02,-5,9.06
106,2.26,4.91,-5,9.16
107,2.28,4.81,-4.81,9.27
108,2.3,4.7,-4.61,9.37
109,2.33,4.61,-4.32,9.47
110,2.35,4.52,-4.02,9.57
111,2.37,4.44,-3.73,9.66
112,2.39,4.36,-3.43,9.76
113,2.41,4.29,-3.24,9.85
114,2.43,4.22,-3.14,9.94
115,2.45,4.16,-3.04,10.03
116,2.47,4.09,-3.04,10.12
117,2.5,4.02,-3.14,10.2
118,2.52,3.96,-3.24,10.29
119,2.54,3.88,-3.43,10.37
120,2.56,3.81,-3.63,10.45
121,2.58,3.73,-3.92,10.53
122,2.6,3.64,-4.22,10.61
123,2.62,3.55,-4.41,10.69
124,2.65,3.46,-4.71,10.77
125,2.67,3.35,-5,10.84
126,2.69,3.24,-5.2,10.91
127,2.71,3.13,-5.3,10.98
128,2.73,3.02,-5.3,11.04
129,2.75,2.91,-5.3,11.1
130,2.77,2.79,-5.3,11.16
131,2.79,2.68,-5.1,11.22
132,2.82,2.57,-5,11.28
133,2.84,2.47,-4.81,11.33
134,2.86,2.37,-4.61,11.38
135,2.88,2.27,-4.41,11.44
136,2.9,2.18,-4.32,11.48
137,2.92,2.09,-4.22,11.53
138,2.94,2,-4.12,11.57
139,2.97,1.91,-4.02,11.61
140,2.99,1.83,-4.02,11.65
141,3.01,1.74,-3.92,11.69
142,3.03,1.66,-3.92,11.73
143,3.05,1.58,-3.83,11.76
144,3.07,1.5,-3.63,11.8
145,3.09,1.42,-3.53,11.83
146,3.11,1.35,-3.34,11.85
147,3.14,1.28,-3.14,11.88
148,3.16,1.22,-2.84,11.91
149,3.18,1.16,-2.65,11.94
150,3.2,1.1,-2.45,11.96
151,3.22,1.05,-2.16,11.98
152,3.24,1.01,-1.96,12
153,3.26,0.97,-1.86,12.02
154,3.29,0.93,-1.67,12.05
155,3.31,0.9,-1.57,12.06
156,3.33,0.87,-1.47,12.09
