name,Sample,Time,speed,acceleration,position
example,0,0,0.07,4.22,0
example,1,0.02,0.16,4.22,0
example,2,0.04,0.25,4.61,0
example,3,0.06,0.35,5.2,0.01
example,4,0.09,0.47,5.69,0.02
example,5,0.11,0.6,6.28,0.03
example,6,0.13,0.74,6.77,0.05
example,7,0.15,0.89,7.26,0.06
example,8,0.17,1.05,7.55,0.08
example,9,0.19,1.21,7.75,0.11
example,10,0.21,1.38,7.85,0.13
example,11,0.23,1.54,7.65,0.16
example,12,0.26,1.7,7.36,0.2
example,13,0.28,1.86,6.87,0.24
example,14,0.3,2,6.28,0.28
example,15,0.32,2.13,5.69,0.32
example,16,0.34,2.24,5,0.37
example,17,0.36,2.34,4.32,0.42
example,18,0.38,2.42,3.73,0.47
example,19,0.41,2.5,3.34,0.52
example,20,0.43,2.57,3.14,0.58
example,21,0.45,2.63,3.14,0.63
example,22,0.47,2.7,3.34,0.69
example,23,0.49,2.78,3.73,0.75
example,24,0.51,2.86,4.22,0.81
example,25,0.53,2.95,4.81,0.87
example,26,0.55,3.07,5.49,0.93
example,27,0.58,3.19,6.08,1
example,28,0.6,3.33,6.67,1.07
example,29,0.62,3.47,7.06,1.14
example,30,0.64,3.63,7.36,1.22
example,31,0.66,3.79,7.46,1.3
example,32,0.68,3.95,7.26,1.38
example,33,0.7,4.1,6.87,1.47
example,34,0.73,4.24,6.28,1.55
example,35,0.75,4.37,5.49,1.65
example,36,0.77,4.47,4.61,1.74
example,37,0.79,4.56,3.63,1.84
example,38,0.81,4.63,2.55,1.94
example,39,0.83,4.67,1.57,2.04
example,40,0.85,4.7,0.78,2.13
example,41,0.87,4.71,0.2,2.23
example,42,0.9,4.71,-0.2,2.33
example,43,0.92,4.7,-0.2,2.44
example,44,0.94,4.7,0.1,2.54
example,45,0.96,4.7,0.59,2.64
example,46,0.98,4.72,1.37,2.74
example,47,1,4.76,2.26,2.84
example,48,1.02,4.81,3.24,2.94
example,49,1.05,4.89,4.12,3.04
example,50,1.07,4.99,5,3.15
example,51,1.09,5.11,5.59,3.26
example,52,1.11,5.23,6.08,3.37
example,53,1.13,5.36,6.28,3.48
example,54,1.15,5.5,6.18,3.6
example,55,1.17,5.63,5.79,3.72
example,56,1.19,5.74,5.1,3.84
example,57,1.22,5.85,4.32,3.96
example,58,1.24,5.93,3.34,4.08
example,59,1.26,5.99,2.16,4.21
example,60,1.28,6.02,1.08,4.34
example,61,1.3,6.03,0,4.47
example,62,1.32,6.02,-0.98,4.6
example,63,1.34,5.99,-1.77,4.73
example,64,1.37,5.95,-2.26,4.85
example,65,1.39,5.89,-2.55,4.98
example,66,1.41,5.84,-2.55,5.11
example,67,1.43,5.78,-2.35,5.23
example,68,1.45,5.74,-1.96,5.35
example,69,1.47,5.7,-1.37,5.47
example,70,1.49,5.68,-0.78,5.6
example,71,1.51,5.67,-0.2,5.71
example,72,1.54,5.67,0.49,5.84
example,73,1.56,5.69,1.08,5.96
example,74,1.58,5.72,1.57,6.08
example,75,1.6,5.76,2.16,6.2
example,76,1.62,5.81,2.65,6.32
example,77,1.64,5.87,3.24,6.45
example,78,1.66,5.95,3.73,6.58
example,79,1.69,6.03,4.22,6.71
example,80,1.71,6.13,4.61,6.83
example,81,1.73,6.23,4.91,6.96
example,82,1.75,6.33,5,7.1
example,83,1.77,6.45,5,7.24
example,84,1.79,6.55,4.71,7.38
example,85,1.81,6.65,4.22,7.52
example,86,1.83,6.73,3.53,7.66
example,87,1.86,6.8,2.75,7.8
example,88,1.88,6.84,1.77,7.95
example,89,1.9,6.87,0.69,8.1
example,90,1.92,6.88,-0.29,8.24
